abandon [4'b1nd4n] vt.抛弃；放弃n.放纵；沉溺
accommodate [4'k3m4deit] vt.为提供食宿；与相符，与相适应
accommodating [4'k3m4deiti6] adj.乐于助人的
accompany [4'k8mp4ni] vt.陪伴，伴随；伴奏
accompanying [] adj.陪伴的，伴随的
accompaniment [4'k8mp4nim4nt] n.伴奏
accomplish [4'k3mpli5] vt.完成，达到，实现
accomplished [4'k3mpli5t, 4'k8mpli5t] adj.精通的，熟练的
accomplishment [4'k3mpli5m4nt] n.成就
accordion [4'k3:dj4n] n.手风琴
account [4'kaunt] n.说明，解释n.户头，账户vi.解释
accounting [4'kaunti6] n.会计学
accountant [4'kaunt4nt] n.会计员，会计师
accredit [4'kredit] vt.授权
accumulate [4'kju:mjuleit] vi.堆积，积聚；积累
accumulation [4kju:mju'lei5(4)n] n.积聚
accurate ['1kjurit] adj.准确的，正确的
accuracy ['1kjur4si] n.准确性，正确性
accuse [4'kju:z] vt.指责，归咎
accusation [1kju(:)'zei54n] n.谴责；控告
accustomed [4'k8st4md] adj.习惯了的
achieve [4't5i:v] vt.完成，实现
achievement [4't5i:vm4nt] n.成就，功绩
acid ['1sid] n.酸adj.酸的adj.尖酸的，刻薄的
acidic [4'sidik] adj.酸的，酸性的
acidity [4'siditi] n.酸度，酸性
acquaintance [4'kweint4ns] n.熟人
acquaint [4'kweint] v.熟悉
acquisition [.1kwi'zi54n] n.获得
acquire [4'kwai4] vt.获得，学到
acronym ['1kr4nim] n.首字母缩写词
actual ['1ktju4l] adj.实际的，现行的
actually ['1kt5u4li] adv.实际上，事实上
actuate ['1ktjueit] vt.开动，促使
activate ['1ktiveit] vt.刺激，使活动
actively ['1ktivli] adv.活跃地，积极地
acute [4'kju:t] adj.灵敏的，敏锐的adj.剧烈的；很严重的
acumen [4'kju:m4n] n.敏锐，聪明
adapt [4'd1pt] v.（使）适应，调整；改编
adaptable [4'd1pt4bl] adj.能适应的，适应能力强的
adaptation [.1d1p'tei54n] n.改编，改写；适应环境
adaptive [4'd1ptiv] adj.适合的；适应的
addict [4'dikt] vt.使上瘾，使沉溺n.上瘾的人
addictive [4'diktiv] adj.（使人）上瘾的
additive ['1ditiv] n.添加剂adj.加法的
additional [4'di54nl] adj.另外的，附加的，额外的
adept ['1dept, 4'dept] adj.熟练的，擅长的
adequate ['1dikwit] adj.足够的，充实的
adhere [4d'hi4] vi.黏附，粘牢vi.追随，坚持
adhesive [4d'hi:siv] n.粘着物adj.粘着的
adjacent [4'd9eis4nt] adj.毗连的，邻近的
adjoin [4'd93in] vt.毗连，邻近
adjoining [4'd93ini6] adj.毗邻的
adjunct ['1d986kt] n.附件，附属
adjust [4'd98st] vt.调整；使适于
adjustment [4'd98stm4nt] n.调整
administer [4d'minist4] vt.管理
administration [4dminis'trei54n] n.经营，管理n.当局，政府
administrative [4d'ministr4tiv] adj.管理的；行政的
administrator [4d'ministreit4] n.管理者；行政官
admire [4d'mai4] vt.钦佩，崇拜；欣赏
admiration [.1dm4'rei54n] n.钦佩，赞美
admit [4d'mit] vt.准许进入vt.承认
admittedly [4d'mitidli] adv.公认地；诚然，无可否认地
adobe [4'd4ubi] n.泥砖，土坯
adopt [4'd3pt] vt.采用，采纳vt.收养
adoption [4'd3p54n] n.采用
adorn [4'd3:n] vt.装饰
adornment [4'd3:nm4nt] n.装饰；装饰品
advance [4d'v2:ns] vt.提高，发展；提升vt.提出vi.前进n.前进，进步n.预先，提前（in advance）
advancement [4d'v2:nsm4nt] n.进展；提升
advanced [4d'v2:nst] adj.高级的；年老的；先进的
advent ['1dv4nt] n.出现，到来
adventure [4d'vent54] n.冒险经历
adventurous [4d'vent54r4s] adj.喜欢冒险的，敢做敢为的
adventurer [4d'vent54r4(r)] n.冒险家
adverse ['1dv4:s] adj.负面的，不利的adj.敌对的，相反的
adversely [1d'v4:sli] adv.相反地；不利地
adversity [4d'v4:siti] n.不幸，灾难
advocate ['1dv4kit] n.提倡者，主张者，拥护者vt.拥护，主张
aesthetic [i:s'7etik] adj.美学的，审美的
anesthetic [.1n4s'7etik] n.麻醉剂
affect [4'fekt] v.影响；假装
affected [4'fektid] adj.装模作样的
affection [4'fek54n] n.友爱，挚爱，情爱
affective [4'fektiv] adj.感情的，表达感情的
affectionate [4'fek54nit] adj.亲爱的，挚爱的
affiliate [4'filieit] vt.使隶属；接纳为成员
affinity [4'finiti] n.紧密关系n.吸引；喜爱
affirm [4'f4:m] vt.断言；证实，确认
afflict [4'flikt] vt.折磨；使苦恼
affliction [4'flik54n] n.痛苦，苦恼
affluent ['1flu4nt] adj.富有的，丰富的
afford [4'f3:d] vt.付得起；冒险做vt.提供
affordable [4'f3:d4bl] adj.负担得起的，便宜的
agenda [4'd9end4] n.日程，议程
aggravate ['1gr4veit] vt.使恶化，使加重
aggravating ['1gr4veiti6] adj.恼人的，讨厌的
aggregate ['1grigeit] n.总数n.聚集体
aggregation [1gri'gei54n] n.集合，群体
aggressive [4'gresiv] adj.强有力的，坚持己见的adj.好斗的，有敌意的
aggressiveness [4'gresivnis] n.侵略；争斗
agile ['1d9ail] adj.敏捷的，活泼轻快的
agility [4'd9iliti] n.敏捷，活泼
agitation [1d9i'tei54n] n.焦虑，不安；煽动
agreeable [4'gri4bl] adj.使人愉快的，合意的adj.容易相处的
ailment ['eilm4nt] n.疾病（尤指轻病、小病）
aim [eim] n.目标，计划vi.针对；打算，意欲
air [A4] n.空气，空中vt.晾干，使通风
airborne ['A4b3:n] adj.空气传播的；空运的，空降的
ajar [4'd42:] adj.（门窗等）微开的
akin [4'kin] adj.同族的；类似的
alchemy ['1lkimi] n.炼金术
alder ['3:ld4] n.赤杨树
alert [4'l4:t] adj.机敏的vt.警报；使随时掌握、了解n.警戒，警报
algae ['1ld9i:] n.海藻
alien ['eilj4n] adj.相异的；陌生的
alignment [4'lainm4nt] n.排列；联合，联盟
alike [4'laik] adj.相同的，相似的
all but [] + adj. 几乎…+ n.   除…以外所有的
all inclusive [] 无所不包的
allegation [.1li'gei54n] n.宣称，主张，断言
allegory ['1lig4ri] n.寓言
alliteration [4.lit4'rei54n] n.（诗歌的）头韵
allocate ['1l4keit] vt.分配
alloy ['1l3i] n.合金vt.使成合金
allude [4'lu:d] vi.暗指，影射，间接提到
ally [4'lai] n.联盟；同盟者v.结盟
aloft [4'l3ft] adv.在高处；在空中
alone [4'l4un] adj./v.单独的（地）
aloof [4'lu:f] adj.远离的；冷淡的，漠不关心的
alter ['3:lt4] vt.改变，修改
alteration [.3:lt4'rei54n] n.变更，改造
alternate [3:l't4:nit, '3:lt4:neit] adj.交替的，轮流的adj.替代的vi.交替，轮流
alternately ['3:lt4:nitli] adv.交替地，隔一个地
alternation [.3:lt4:'nei54n] n.交替，轮流
alternative [3:l't4:n4tiv] adj.另一可选的，另外的n.可选事物，另一种选择
altitude ['1ltitju:d] n.高度
aluminum [.1lju'mini4m, .1l4'mini4m] n.铝
amateur ['1m4t4, .1m4't4:] adj.业余的n.业余爱好者
amaze [4'meiz] vt.使吃惊，使惊叹
amazement [4'meizm4nt] n.惊愕，惊异
amazing [4'meizi6] adj.令人惊异的
ambience ['1mbi4ns] n.周围环境，气氛
ambition [1m'bi54n] n.雄心，抱负
ambitious [1m'bi54s] adj.有雄心的，渴望成功的
ambivalent [1m'biv4l4nt] adj.有矛盾情绪的，举棋不定的
ambivalence [1m'biveil4ns] n.矛盾心理
amble ['1mbl] vi.漫步，缓行
amenable [4'mi:n4b4l] adj.顺从的；应服从的
amendment [4'mendm4nt] n.改正，修正
Amendment [4'mendm4nt] n.宪法修正案
amend [4'mend] vt.改正，修正
amenity [4'mi:niti] n.pl.生活福利设施，文娱康乐场所n.（不可数）愉快，适意
amid [4'mid] prep.在…中
amnesia [1m'ni:zi4] n.健忘症
amount [4'maunt] n.量，总合vi.总计；等于
ample ['1mpl] adj.富足的，充足的
amplify ['1mpli.fai] vt.放大；扩大；增强
amplification [.1mplifi'kei54n] n.扩大
an army of [] 大群的，大量的
analogy [4'n1l4d9i] n.类比，类推n.类此物
analogous [4'n1l4g4s] adj.类似的
analyze ['1n4laiz] vt.分析，分解
analysis [4'n1l4sis] n.分析；分析报告
anarchist ['1n4kist] n.无政府主义者
anatomy [4'n1t4mi] n.解剖；解剖学
ancestor ['1ns4st4] n.祖先，祖宗
ancestry ['1nsistri] n.家系，血统
ancestral [1n'sestr4l] adj.祖先的，祖传的
anecdotal [.1nek'd4utl] adj.轶闻的，多轶闻趣闻的
anecdote ['1nik.d4ut] n.短故事，轶事
anesthesia [.1nis'7i:zi4] n.麻醉
anesthetic [.1n4s'7etik] n.麻醉剂，麻药
angular ['16gjul4] adj.有角的，尖角的
animated ['1ni.meitid] adj.活生生的；活泼的，生动的
annex [4'neks] vt.兼并，附加
annihilate [4'nai4.leit] vt.消灭；消减
announce [4'nauns] vt.宣布，发表，通告
announcement [4'naunsm4nt] n.宣告，发表
announcer [4'nauns4] n.广播员；报幕员
annoy [4'n3i] vt.使恼怒；打扰
annoying [4'n3ii6] adj.恼人的，讨厌的；使人愤怒的
annual ['1nju4l] adj.每年的
annually ['1nju4li] adv.一年一次，每年
anomaly [4'n3m4li] n.异常，不规则；异常的人或物
anonymous [4'n3nim4s] adj.匿名的
anthem ['1n74m] n.圣歌，赞美诗
anthology [1n'73l4d9i] n.诗集，文选
anthropology [1n7r4'p3l4d9i] n.人类学
antibiotic [.1ntibai'3tik] adj.抗菌的，抗生的n.antibiotics 抗生素
anticipate [1n'tisipeit] vt.预期，预料
anticipation [1n.tisi'pei54n] n.期望，预料
antiquate ['1ntikweit] vt.使古旧，废弃
antiquated ['1ntikweitid] adj.陈旧的，过时的
antique [1n'ti:k] n.古董adj.古时的，过时的
antiquity [1n'tikwiti] n.古迹；古物n.古代n.古老
antiseptic [.1nti'septik] n.防腐剂，杀菌剂
anxious ['16k54s] adj.渴望的；担忧的
apart from [] 除…之外
apologize [4'p3l4d9aiz] vi.道歉
apology [4'p3l4d9i] n.道歉，歉意
appeal [4'pi:l] n.吸引力vi.吸引vi.上诉，申请
appealing [4'pi:li6] adj.动人的，媚人的
appetite ['1pitait] n.胃口，食欲
applaud [4'pl3:d] vi.喝彩，欢呼
applicant ['1plik4nt] n.申请人
apply [4'plai] v.应用，适用vi.申请
application [.1pli'kei54n] n.申请n.施用，运用；作用，影响
appliance [4'plai4ns] n.用具，器具
appoint [4'p3int] vt.任命，选派
appointment [4'p3intm4nt] n.约会n.指定
apportion [4'p3:54n] vt.（按比例或计划）分配
appraisal [4'preiz4l] n.评价，估价
appreciable [4'pri:54bl] adj.(数量或变化)很大的，值得重视的
appreciate [4'pri:5ieit] vt.赏识；鉴赏vt.感激
appreciation [4.pri:5i'ei54n] n.欣赏；口味，兴趣
apprentice [4'prentis] n.学徒
approach [4'pr4ut5] n.方法vt.接近，靠近
approaching [4'pr4ut5i6] adj.接近的，逼近的
appropriate [4'pr4upri:4t] adj.适当的，恰当的vt.拨款
appropriation [4.pr4upri'ei54n] n.拨款
approve [4'pru:v] vt.批准vi.赞成，同意
approval [4'pru:v4l] n.赞成，正式批准
approximate [4'pr3ksim4t] v.接近，近似adj.大约的，估计的
approximately [4'pr3ksim4tli] adv.近似地，大约
apt [1pt] adj.恰当的，贴切的adj.易于…的
aptly ['1ptli] adv.适当地，得体地
aquatic [4'kw1tik] adj.水生的，水栖的
aquarium [4'kwAri4m] n.水族馆
arbitrary ['2:bi.tr4ri] adj.专横的，专制的，武断的
arboreal [2:'b3:ri4l] adj.树栖的；树的
arc [2:k] n.弧形，拱形
archaeology [.2:ki'3l4d9i] n.考古学
archaeological [] adj.考古学的
archipelago [.2:ki'pel4g4u] n.群岛
architect ['2:kitekt] n.建筑师
architecture ['2:kitekt54] n.建筑；建筑学
architectural [.2:ki'tekt54r4l] adj.建筑上的；建筑学的
ardent ['2:d4nt] adj.热烈投入的，极热心的
arduous ['2:dju4s] adj.费力的，艰难的
arena [4'ri:n4] n.竞技场，舞台
aria [] n.独唱曲，咏叹调
arid ['1rid] adj.干旱的；贫瘠的
arithmetic [4'ri7m4tik] n.算数
armor ['2:m4] n.装甲；装甲车
armored ['2:m4d] adj.披甲的，装甲的
arms [2:mz] n.武器，兵种
armory ['2:m4ri] n.纹章；兵工厂，军械库
aroma [4'r4um4] n.香气，芬芳，芳香
aromatic [.1r4'm1tik] adj.芬芳的
arouse [4=rauz] vt.刺激，激起；唤醒
arrange [4'reind9] vt.计划，准备vt.整理，摆放
arrangement [4'reind9m4nt] n.排列，安排
array [4'rei] n.展示，陈列；一系列
arsenal ['2:s4nl] n.兵工厂，军械库
arthritis [2:'7raitis] n.关节炎
article ['2:tik4l] n.论文，文章n.物品n.条款
articulate [2:'tikjuleit] vt.清楚地讲话，清晰地发音adj.善于言辞的；表达清晰的
artificial [.2:ti'fi54l] adj.人造的，人工的adj.虚假的，矫揉造作的
artisan ['2:ti.z1n] n.手工业工人，手艺人
as far as [] 就...来说；远及
as such [] 就象这样做，就本身而论
as a rule [] 通常，总的来说
as a rule of thumb [] 大概来说
ascend [4'send] vt.（渐渐）上升，升高；攀登
ascending [4'sendi6] adj.上升的，向上的
ascent [4'sent] n.攀登，上升
ascribe [4'skraib] vt.把…归于
aspect ['1spekt] n.(问题的)方面；(事物的)一部分n.观点，角度
aspiring [4'spai4ri6] adj.有抱负的,有理想的,积极向上的
aspiration [.1sp4'rei54n] n.雄心，抱负
assault [4's3:lt] n.（武力）袭击；（口头）攻击
assemble [4'semb4l] vt.集合，装配vi.聚集
assembly [4'sembli] n.集会；参加集会的人们n.装配，安装
assembly line [] 装配线，流水线
assemblage [4'semblid9] n.集合，组合
assert [4's4:t] vt.声称，坚持
assess [4'ses] vt.估计，分析，评估
assessment [4'sesm4nt] n.估价，评估
asset ['1set] n.assets 财产，资产n.优势；重要的品质
assignment [4'sainm4nt] n.任务，作业n.分配
assimilate [4'simileit] vt.学习，吸收（知识）vt.吃，吸收
assistant [4'sist4nt] n.助手，助教adj.辅助的，助理的
assist [4'sist] vt.援助，帮助
assistance [4'sist4ns] n.协助，援助
assistantship [4'sist4nt.5ip] n.研究生助教奖学金
associate [4's4u5ieit] v.关联，联合n.伙伴adj.准的/副的（比正职低一级）
association [4.s4usi'ei54n] n.关联，联合n.协会
assorted [4's3:tid] adj.各式各样的，多样混合的
assortment [4's3:tm4nt] n.各类物品的聚集，混合物
assume [4'sju:m] vt.假定，设想vt.承担(责任)；采用(形式或姿势)
assumption [4's8mp54n] n.假设；就职
assure [4'5u4] vt.确保；向…保证，使确信
assuredly [4'5u4ridli] adv.确实地，确信地
astonish [4s't3ni5] vt.使惊讶
astonished [4'stani5t] adj.惊讶的
astonishing [4s't3ni5i6] adj.惊人的，奇迹的
astound [4s'taund] vt.使惊异
astounding [4s'taundi6] adj.令人吃惊的
astronomical [.1str4'n3mik4l] adj.天文学的
astronomy [4'str3n4mi] n.天文学
astronomer [4'str3n4m4] n.天文学家
astute [4s'tju:t] adj.机敏的，精明的
asymmetrical [.eisi'metrik4l] adj.不均匀的，不对称的
at intervals [] 不时；相隔一段距离
at one session [] 一下子，一次性
at the cutting edge of [] 在…的关键时刻/状态/位置
atheist ['ei7iist] n.无神论者
athlete ['17lit, '17li:t] n.运动员
atmosphere ['1tm4sfi4] n.大气，大气层；（某地的）空气
atom ['1t4m] n.原子
atomic [4't3mik] adj.原子的；微小的
atomization [.1t4mai'zei54n] n.原子化；雾化
atrophy ['1tr4fi] n.萎缩；萎缩症
attachment [4't1t5m4nt] n.依恋，喜欢n.附件，附加装置，配属
attach [4't1t5] vt.系，缚
attached [4't1t5t] adj.附加的，附属的
attain [4'tein] vt.达到，获得
attainment [4'teinm4nt] n.成就
attempt [4'tempt] n./vi.尝试
attend [4'tend] vt.参加；入学vt.照顾
attendant [4'tend4nt] n.侍者，护理人员adj.伴随的
attendance [4'tend4ns] n.出席，出席的人数
attention [4'ten54n] n.注意，重视，关心
attire [4'tai4] n.穿着，服饰（正规服装的总称）
attorney [4't4:ni] n.代理人，辩护律师
attract [4'tr1kt] vt.吸引；引起注意
attraction [4'tr1k54n] n.吸引；吸引人的事物
attractive [4'tr1ktiv] adj.吸引人的，有魅力的
attribute ['1tribju:t, 4'tribju:t] n.属性，品质vi.把…归于，归因于
audible ['3:dib4l] adj.听得见的
audit ['3:dit] vt.旁听；稽核，审查
audience ['3:di4ns] n.观众
auditorium [.3:di't3:ri4m] n.大礼堂
audition [3:'di54n] n.（对艺人的）面试（试演/试唱）
auger ['3:g4] n.螺丝钻，钻孔机
augment [3:g'ment] vt.增加，增大
aurora [3:'r3:r4] n.极光=auroral light
authentic [3:'7entik] adj.真的；可靠的，确实的
authenticate [3:'7entikeit] vt.证明…为真
authority [4'73riti] n.权力，权限；权威人士n.authorities 当局
authorize ['3:74raiz] vt.授权，批准
autobiography [.3:t4bai'3gr4fi] n.自传
autobiographical [.3:t4bai4'gr1fik4l] adj.自传的，自传体的
automated ['3:t4meitid] adj.自动的
automatic [.3:t4'm1tik] adj.自动(化)的；无意识的，机械的
autonomy [3:'t3n4mi] n.自治，自治权
autonomous [3:'t3n4m4s] adj.自治的，独立的
auxiliary [3:g'zilj4ri] adj.辅助的；补充的
available [4'veil4b4l] adj.自由的，有空的adj.可利用的，可得到的
avalanche ['1v4l2:n5] n.雪崩
avant-garde [] n.先锋派(艺术流派)；先锋，前卫
average ['1v4rid9] adj.一般的，通常的；平庸的n.平均水平；平均数vt.平均为
aversion [4'v4:54n] n.厌恶，憎恨
averse [4'v4:s] adj.反对的，不愿意的
avert [4'v4:t] vt.转移；避免，规避
aviation [] n.航空；航空学
aviator ['eivieit4] n.飞行员，飞行家
avid ['1vid] adj.渴望的；热心的
avocation [.1v4'kei54n] n.副业；业余爱好
avocational [] adj.副业的，嗜好的
avoid [4'v3id] vt.躲避，规避
avoidable [4'v3id4bl] adj.可避免的
avoidance [4'v3id4ns] n.避免
awareness [4'wA4n4s] n.意识
awkward ['3:kw4d] adj.笨拙的，不灵活的
awkwardly ['3:kw4dli] adv.(见到生人)局促不安地，笨拙地
axis ['1ksis] n.轴；轴心
autobiography [.3:t4bai'3gr4fi] n.自传
ablaze [4'bleiz] adj.着火的，闪耀的
aboard [4'b3:d] prep./adv.在（船、飞机、车）上/上（船、飞机、车）
air conditioner [] 空调
aircraft ['e4kr2:ft] n.飞行器；飞机，飞艇
agriculture ['1grik8lt54] n.农业，农艺，农学
a cushion of [] 一层
air-cushion vehicle [] 气垫船
accustomed [4'k8st4md] adj.通常的，习惯的
a great deal [] 丰富，大量
a good deal [] 许多
adept ['1dept, 4'dept] adj.熟练的，拿手的
aerodynamics [.A4r4udai'n1miks] n.空气动力学
appropriate [4'pr4upri:4t] adj.适当的vt.拨款；占用
afflict [4'flikt] vt.（外来到）折磨
ajar [4'd42:] adj.（门窗等）微开的
aquamarine [.1kw4m4'ri:n] n.绿玉；碧绿色
amendment [4'mendm4nt] n.改善，改正
automotive [3:t4'm4utiv] adj.汽车的，自动推进的
abnormal [1b'n3:m4l] adj.反常的，变态的
announce [4'nauns] vt.宣布，通告
a pivotal figure [] 关键人物
antedate ['1nti'deit] vt.填早...的日期
acupuncture ['1kjup86kt54(r)] n.针刺；针灸
acquaint [4'kweint] vt.使熟知，通知
acquaintance [4'kweint4ns] n.相识，熟人
acquainted [4'kweintid] adj.有知识的，知晓的
aircraft ['e4kr2:ft] n.航行器
a range of [] 一系列的东西
array [4'rei] n.编队；大批
aspect ['1spekt] n.（问题等）方面；样子，外表
ascent [4'sent] n.上升，攀登
adolescent [.1d4u'lesnt] n.青少年
amble ['1mbl] vi.缓行，漫步
airsickness [] n.晕机
asymmetrical [.eisi'metrik4l] adj.不均匀的, 不对称的
adventure [4d'vent54] n.冒险，冒险的经历
avenue ['1v4nju:, '1vinju:] n.林荫道, 大街
adverse ['1dv4:s] adj.不利的；敌对的；相反地
avocation [.1v4'kei54n] n.(个人)副业，业余爱好
blazing ['bleizi6] adj.炽烧的，闪耀的
biography [bai'3gr4fi] n.传记
baby-sitter ['bebi.sit4] n.临时保姆，代人照顾婴儿者
bachelor ['b1t54l4] n.学士（学位）；单身汉
back and forth [] 来来回回，来回地
backbone ['b1kb4un] n.骨干，支柱n.脊椎，中枢
backdrop ['b1kdr3p] n.舞台背景；背景
baggage ['b1gid9] n.行李
balance ['b1l4ns] n.平衡vt.使平衡，使均衡
balanced ['b1l4nst] adj.均衡的；平稳的
bald [b3:ld] adj.秃头的；光秃的
bald eagle [] 秃头鹰（美国国鸟）
ballet ['b1lei] n.芭蕾舞
balloon [b4'lu:n] n.气球
balloonist [] n.气球驾驶者
balmy ['b2:mi] adj.芳香的；（空气）温和的
ban [b1n] vt.禁止，查禁
banner ['b1n4] n.旗帜，标语，横幅
banker ['b16k4] n.银行家
bang [b16] v.发出砰的一声，重击
band [b1nd] n.乐队；队n.（光或颜色的）带；带子vi.联合，集合
bandleader [] n.乐队指挥
bandmaster [] n.乐队指挥
bandanna [b1n'd1n4] n.大手帕
bankruptcy ['b16kr8ptsi] n.破产
bankrupt ['b16kr8pt] adj.破产了的v.（使）破产
bar [b2:] n.酒吧 snack bar 快餐店n.条，棒；栅n.律师业
barb [b2:b] n.（鱼钩等的）倒钩；倒刺
barbed wire [] 带倒钩的铁丝（铁丝网）
barbecue ['b2:bikju:] n.烤肉野餐
barber ['b2:b4] n.理发师
bare [bA4] adj.无遮蔽的，赤裸的，光（秃）的adj.仅有的，勉强的
barely ['be4li] adv.仅仅adv.几乎不能
barge [b2:d9] n.驳船
bark [b2:k] n.树皮n./vi.狗叫，咆哮
barn [b2:n] n.谷仓；畜棚
baroque [b4'rok] adj.高度装饰的，过分雕琢的
barrel ['b1r4l] n.桶
barren ['b1r4n] adj.贫瘠的；荒凉的
barrenness ['b1r4nnis] n.荒凉
barrier ['b1ri4] n.屏障，障碍；栅栏
barter ['b2:t4] n./v.物品交换，易货贸易
basement ['beism4nt] n.地下室
basin ['beis4n] n.盆；盆地
be taken by [] 被迷住，被吓住
be up to [] 由…做；胜任，从事于
bead [bi:d] n.珠子；（液体）小滴
beaded ['bi:did] adj.以珠装饰的，珠状的
beak [bi:k] n.鸟喙
beam [bi:m] n.大梁n.（光线的）束，柱
bear [be4(r)] vt.负担，支撑vt.具有，带有vt.生产，生育n.熊（polar bear 北极熊，grizzly bear 灰熊）
beard [bi4d] n.胡须
beat [bi:t] v.打击，敲击；打败adj.疲倦的n.（音乐）拍子
bedrock ['bed'r3k] n.基础；基石
behalf [bi'h2:f] n.代表…，作为…的代表
behave [bi'heiv] vi.举止，表现
behavior [bi'heivj4] n.举止，行为
belie [bi'lai] vt.给人错觉；掩饰
believe in [] 相信
bellows ['bel4uz] n.风箱
below [bi'l4u] prep./adv.在…下面
belong to [] 属于
beneath [bi'ni:7] prep./adv.在…之下
benefit ['benifit] n.利益，好处vt.有益于，有助于
beneficial [.beni'fi54l] adj.有益的，有利的
benign [bi'nain] adj.（病）良性的；亲切和蔼的
bequest [bi'kwest] n.遗产；遗赠
besides [bi'saidz] adv.除了…（还有）
besiege [bi'si:d9] vt.围攻；困扰
bestow [bi'st4u] vt.给与，赐赠
betray [bi'trei] vt.背叛vt.（非故意地）暴露，显露
beverage ['bev4rid9] n.（除水之外的）饮料
bias ['bai4s] n.偏见，偏好
bicameral [bai'k1m4r4l] adj.两院制的，有两个议院的
bilateral [bai'l1t4r4l] adj.两边的；双边的
bill [bil] n.帐单，发票n.（细长或扁平的）鸟嘴n.议案，法案n.钞票，纸币
billion ['bilj4n] n./adj.十亿（的）
biography [bai'3gr4fi] n.传记
biographer [bai'3gr4f4] n.传记作家
biologist [bai'3l4d9ist] n.生物学家
biological diversity [] 生物多样性
bison ['baisn] n.美洲或欧洲的野牛
bitter ['bit4] adj.苦（味）的adj.（令人）痛苦的；尖酸刻薄的
bitterness ['bit4nis] n.苦味；辛酸，苦难
bizarre [bi'z2:] adj.奇异的，古怪的
blame [bleim] vt.谴责，责备n.过失，责备
bland [bl1nd] adj.淡味的；无味的
blanket ['bl16kit] n.毯子；厚的遮盖物
blast [bl2:st] vi.爆破n.一阵（风、气流或噪音）
blast furnace [] 鼓风炉
blazing ['bleizi6] adj.炽烧的；闪耀的
blaze [bleiz] vi.燃烧，照耀n.火焰，光辉
bleach [bli:t5] vt.去色，漂白
bleak [bli:k] adj.荒凉的；凄凉的
blend [blend] vt.混合，掺混n.混合（物）
blessing ['blesi6] n.祝福，恩赐
blink [bli6k] v.眨眼
blizzard ['bliz4d] n.暴风雪
block [bl3k] n.一块（木头或石头等）n.街区vt.阻碍，阻止
bloom [blu:m] n./vi.花/开花
blossom ['bl3s4m] n./vi.花/开花
blues [blu:z] n.抑郁，沮丧；布鲁斯音乐
bluff [bl8f] n.悬崖，绝壁；v.诈骗，吓唬
blunt [bl8nt] adj.直言不讳的adj.钝的，不锋利的，不尖的
blush [bl85] vi.脸红，羞愧
board [b3:d] n.（薄而平的）木板n.委员会n.膳食费用vt.上（船、飞机等）
boarder ['b3:d4] n.寄宿者；寄生者
boardinghouse ['b3:di6.haus] n.寄宿公寓
boast [b4ust] n./v.自夸，以有…而自豪
boastful ['b4ustf4l] adj.吹嘘的，自负的
boiling point [] 沸点
bold [b4uld] adj.勇敢的，大胆的；放肆/无礼的
bolster ['b4ulst4] n.垫子，枕垫vt.支持
